store_id,uptime_last_hour(in minutes),uptime_last_day(in hours),uptime_last_week(in hours),downtime_last_hour(in minutes),downtime_last_day(in hours),downtime_last_week(in hours)
1564463685496669766,60,15,101,0,0,0
3151564570600703560,60,11,80,0,0,0
8008584774264292942,60,13,91,0,0,0
6042547964020360785,0,10,10,60,13,78
8353073148539307601,60,6,45,0,0,0
599471361420330580,60,13,91,0,0,0
3310497186573518420,60,12,69,0,0,14
2468186708681950806,60,14,38,0,0,62
9221835456246842967,60,8,74,0,0,0
4467068553511405146,60,23,167,0,0,0
4687728850090034778,60,23,105,0,0,0
3704930655875237471,60,13,91,0,0,0
1734786176041223780,60,12,86,0,0,0
9210491856998696545,0,0,0,60,12,84
5428979843409643108,60,14,90,0,0,0
8352238846148019815,60,23,51,0,0,33
7735253880009557608,60,10,70,0,0,0
4685032585830172269,0,0,12,60,12,72
3349955857880974959,60,17,34,0,0,91
2055071994723370614,60,15,108,0,0,0
8918857679369700982,60,11,79,0,0,0
6142556542410065530,60,18,119,0,0,0
8453879503126398594,60,14,93,0,0,4
5497880142999062147,60,23,142,0,0,24
2362087422449157766,60,13,91,0,0,0
8456716061534389896,60,13,94,0,0,0
340269371490240140,60,10,85,0,0,0
5117139312580265611,60,7,85,0,0,0
3275242521497863822,60,7,33,0,0,32
3298172764207449746,0,0,3,60,7,65
4675611213513950868,60,11,93,0,0,0
3227207854423639703,60,14,90,0,0,0
4470282824865056417,0,0,12,60,12,72
8504647545260410530,60,17,125,0,0,0
4227239637430929061,60,9,67,0,0,0
2677415097765332649,60,5,35,0,0,0
5631063694141032107,60,8,78,0,0,0
2837852186305332910,60,14,73,0,0,24
6564629340829583022,60,9,80,0,0,0
6059910840054253232,0,0,15,60,15,93
5627904252074297008,60,18,129,0,0,0
6442911056406415028,60,16,112,0,0,0
4773233943961929400,60,11,82,0,0,0
1016295610192823996,60,16,160,0,0,0
9184450372665149117,60,12,97,0,0,0
2201034520219682496,60,13,92,0,0,0
5034214336396330688,60,23,101,0,0,0
5872362227518998221,60,23,165,0,0,1
8574755947359340238,60,7,66,0,0,0
816558279611975380,60,13,91,0,0,0
3343213184730203867,60,12,84,0,0,0
8808827081340815071,60,8,85,0,0,0
7826375907599025889,60,15,118,0,0,0
2250695671003973351,60,23,91,0,0,76
6631590478086702822,0,5,14,60,18,63
3971009143560013545,60,10,26,0,0,53
5614151922970199785,60,10,73,0,0,0
4885625923193538281,60,23,136,0,0,31
6556520957997287151,60,6,47,0,0,0
2516121166277641968,60,10,48,0,0,21
1783922507691820804,60,17,122,0,0,0
6195843357307242243,0,0,0,60,12,84
2447384155877148423,60,11,77,0,0,0
3272045057316259592,60,23,167,0,0,0
6238837396367935249,60,18,137,0,0,0
5336885084127758098,60,18,132,0,0,0
3908898623672223508,60,23,97,0,0,0
5474353426945476372,60,10,70,0,0,0
1287159403789190934,60,23,66,0,0,101
580069881451382554,60,7,65,0,0,0
2906703943628031770,60,14,98,0,0,0
2034667810653472547,0,10,24,60,13,143
7434868001187596075,60,23,138,0,0,28
7405651990117386028,60,4,75,0,0,0
8978177480383366959,60,7,19,0,0,47
8104486275502442289,60,23,167,0,0,0
5650559592132675381,60,23,89,0,0,0
5565115538436196153,60,14,90,0,0,0
4911531977726625597,60,18,124,0,0,3
6787823264176736069,60,9,68,0,0,0
3276793081772410695,60,13,97,0,0,0
6740162294558885701,60,12,84,0,0,0
3560769691444709193,60,14,101,0,0,0
7456703466739074889,60,9,18,0,0,44
7516339311818737482,60,14,89,0,0,0
392690759220954956,60,10,70,0,0,0
5111252659047794512,0,1,14,60,12,76
2194065223053215571,60,6,75,0,0,0
6374225983522703190,0,6,15,60,17,66
3327224590797571928,60,23,85,0,0,0
548295011926673241,60,16,112,0,0,0
3627697585993910104,60,17,119,0,0,0
7372385631979013974,60,23,167,0,0,0
1049573275137902434,60,23,167,0,0,0
2634509027897804646,60,20,141,0,0,2
8228707150581991268,60,8,59,0,0,0
3745423608482989929,60,10,70,0,0,0
6727436015975565164,60,12,84,0,0,0
5840583611600930669,60,8,12,0,0,55
7714402839179364206,60,9,81,0,0,0
1225884324122494849,60,20,143,0,0,0
4641198803096110975,60,10,72,0,0,0
7208992689796712319,60,17,125,0,0,0
8771092958040393604,60,23,167,0,0,0
2057185168760768391,60,23,91,0,0,76
6494102341019174792,60,23,96,0,0,1
5005636454490146706,60,23,96,0,0,0
4185310253022742428,60,8,47,0,0,0
9067614979193276317,60,19,139,0,0,0
8120993966389659555,60,8,16,0,0,39
6501100085922760616,60,5,79,0,0,0
82088361624635309,0,0,0,60,12,84
595271268828874670,60,10,63,0,0,6
424257797435557827,0,5,16,60,18,86
6505640203025647555,0,4,10,60,13,115
4747383523730098118,60,10,48,0,0,23
6841048427396532172,60,9,63,0,0,0
2990770805738506193,0,0,10,60,10,64
5004585018511067091,60,9,68,0,0,0
2849133417129379800,60,23,78,0,0,0
2134017871732180954,60,17,125,0,0,0
8664817356517050333,0,2,4,60,12,87
7688951915274274783,60,17,130,0,0,0
5638371070040836066,60,9,61,0,0,0
5022853058829617123,60,13,91,0,0,0
8709530841430329316,60,11,50,0,0,26
2863272238592657384,60,6,42,0,0,0
808938633227012075,60,9,110,0,0,0
8722028703797774313,60,10,68,0,0,3
8189139484866742253,60,12,84,0,0,0
2211906621683468276,0,10,24,60,13,143
6646033216678692851,60,4,47,0,0,0
4725069348551067639,60,23,167,0,0,0
7724025313568065528,60,13,91,0,0,0
4164140233297856516,60,23,167,0,0,0
1057525043621726214,60,23,167,0,0,0
3834797117215246344,0,0,12,60,11,73
8135193053359966217,60,23,137,0,0,30
7551779702028994572,60,23,164,0,0,2
4529974343426148373,60,11,77,0,0,0
8453827384807852054,60,23,62,0,0,82
1663926617562089502,60,11,77,0,0,0
8833188143181301788,60,23,89,0,0,0
7250836057229985824,60,4,28,0,0,0
6604920996020684835,60,23,167,0,0,0
3622746160696625191,60,23,167,0,0,0
7786435372804671528,0,0,0,60,12,84
748329944500144174,0,5,11,60,18,53
465794482359830574,60,23,167,0,0,0
5338636330910779442,60,13,91,0,0,0
226384701555673146,60,23,167,0,0,0
8778880979020711993,60,14,107,0,0,0
5599817024834832442,60,8,67,0,0,0
261116786802362432,60,23,45,0,0,40
4931312655024326720,60,15,87,0,0,20
2704918614024357954,60,20,141,0,0,2
6682517242809387075,60,8,59,0,0,0
8919287314281793603,60,23,25,0,0,55
605820315907131468,60,16,112,0,0,0
4643583928115726413,60,23,167,0,0,0
